dataset,ratio,max_data_num,predict_data_num,metric,method,value,size_constraint
GIGAWORD,64,25600,1638400,RelAcc,AtS,1.0,7000000000.0
GIGAWORD,64,25600,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
GIGAWORD,64,25600,1638400,RelAcc,ZeroShot,0.7126,7000000000.0
GIGAWORD,64,25600,1638400,PearCorr,SubTuning,0.8086,7000000000.0
GIGAWORD,64,25600,1638400,RelAcc,SubTuning,0.7126,7000000000.0
GIGAWORD,64,25600,1638400,PearCorr,ModelSize,-0.2445,7000000000.0
GIGAWORD,64,25600,1638400,RelAcc,ModelSize,0.7126,7000000000.0
GIGAWORD,128,12800,1638400,PearCorr,AtS,0.9112,7000000000.0
GIGAWORD,128,12800,1638400,RelAcc,AtS,0.9433,7000000000.0
GIGAWORD,128,12800,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
GIGAWORD,128,12800,1638400,RelAcc,ZeroShot,0.7126,7000000000.0
GIGAWORD,128,12800,1638400,PearCorr,SubTuning,0.7616,7000000000.0
GIGAWORD,128,12800,1638400,RelAcc,SubTuning,0.7126,7000000000.0
GIGAWORD,128,12800,1638400,PearCorr,ModelSize,-0.2445,7000000000.0
GIGAWORD,128,12800,1638400,RelAcc,ModelSize,0.7126,7000000000.0
GIGAWORD,256,6400,1638400,PearCorr,AtS,0.8912,7000000000.0
GIGAWORD,256,6400,1638400,RelAcc,AtS,0.9433,7000000000.0
GIGAWORD,256,6400,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
GIGAWORD,256,6400,1638400,RelAcc,ZeroShot,0.7126,7000000000.0
GIGAWORD,256,6400,1638400,PearCorr,SubTuning,0.6988,7000000000.0
GIGAWORD,256,6400,1638400,RelAcc,SubTuning,0.7126,7000000000.0
GIGAWORD,256,6400,1638400,PearCorr,ModelSize,-0.2445,7000000000.0
GIGAWORD,256,6400,1638400,RelAcc,ModelSize,0.7126,7000000000.0
GIGAWORD,512,3200,1638400,PearCorr,AtS,0.9103,7000000000.0
GIGAWORD,512,3200,1638400,RelAcc,AtS,0.9139,7000000000.0
GIGAWORD,512,3200,1638400,PearCorr,ZeroShot,-0.492,7000000000.0
GIGAWORD,512,3200,1638400,RelAcc,ZeroShot,0.7126,7000000000.0
GIGAWORD,512,3200,1638400,PearCorr,SubTuning,0.6484,7000000000.0
GIGAWORD,512,3200,1638400,RelAcc,SubTuning,0.7126,7000000000.0
GIGAWORD,512,3200,1638400,PearCorr,ModelSize,-0.2445,7000000000.0
GIGAWORD,512,3200,1638400,RelAcc,ModelSize,0.7126,7000000000.0
FLAN,8,204800,1638400,PearCorr,AtS,0.9087,7000000000.0
FLAN,8,204800,1638400,RelAcc,AtS,0.936,7000000000.0
FLAN,8,204800,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,8,204800,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,8,204800,1638400,PearCorr,SubTuning,0.6086,7000000000.0
FLAN,8,204800,1638400,RelAcc,SubTuning,0.9318,7000000000.0
FLAN,8,204800,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
FLAN,8,204800,1638400,RelAcc,ModelSize,0.5957,7000000000.0
FLAN,16,102400,1638400,PearCorr,AtS,0.7312,7000000000.0
FLAN,16,102400,1638400,RelAcc,AtS,0.9318,7000000000.0
FLAN,16,102400,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,16,102400,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,16,102400,1638400,PearCorr,SubTuning,0.4649,7000000000.0
FLAN,16,102400,1638400,RelAcc,SubTuning,0.9318,7000000000.0
FLAN,16,102400,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
FLAN,16,102400,1638400,RelAcc,ModelSize,0.5957,7000000000.0
FLAN,32,51200,1638400,PearCorr,AtS,0.6553,7000000000.0
FLAN,32,51200,1638400,RelAcc,AtS,0.9318,7000000000.0
FLAN,32,51200,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,32,51200,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,32,51200,1638400,PearCorr,SubTuning,0.3637,7000000000.0
FLAN,32,51200,1638400,RelAcc,SubTuning,0.9318,7000000000.0
FLAN,32,51200,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
FLAN,32,51200,1638400,RelAcc,ModelSize,0.5957,7000000000.0
FLAN,64,25600,1638400,PearCorr,AtS,0.6113,7000000000.0
FLAN,64,25600,1638400,RelAcc,AtS,0.9318,7000000000.0
FLAN,64,25600,1638400,PearCorr,ZeroShot,-0.1071,7000000000.0
FLAN,64,25600,1638400,RelAcc,ZeroShot,0.8534,7000000000.0
FLAN,64,25600,1638400,PearCorr,SubTuning,0.29,7000000000.0
FLAN,64,25600,1638400,RelAcc,SubTuning,0.9318,7000000000.0
FLAN,64,25600,1638400,PearCorr,ModelSize,-0.2088,7000000000.0
